filename,width,height,class,xmin,ymin,xmax,ymax
1 (1).jpg,612,433,stoplight,280,116,369,291
1 (1).jpg,612,433,stoplight,378,95,475,271
1 (1).jpg,612,433,stop,264,129,352,184
1 (10).jpg,612,408,stoplight,104,99,243,344
1 (10).jpg,612,408,stoplight,258,91,392,332
1 (10).jpg,612,408,go,90,245,217,337
1 (10).jpg,612,408,stop,261,93,394,181
1 (11).jpg,396,612,stoplight,31,177,197,503
1 (11).jpg,396,612,stoplight,207,171,385,502
1 (11).jpg,396,612,go,25,374,173,498
1 (11).jpg,396,612,stop,225,190,372,297
1 (110).jpg,640,360,stoplight,449,26,592,278
1 (110).jpg,640,360,stop,451,40,575,132
1 (111).jpg,980,1470,stoplight,337,583,621,1086
1 (111).jpg,980,1470,stop,386,635,572,786
1 (112).jpg,1000,750,stoplight,429,241,516,398
1 (112).jpg,1000,750,go,436,334,514,399
1 (114).jpg,878,585,stoplight,341,50,412,215
1 (114).jpg,878,585,stoplight,450,53,552,263
1 (115).jpg,1000,667,stoplight,367,3,592,293
1 (115).jpg,1000,667,go,383,97,593,268
1 (116).jpg,640,960,stoplight,388,206,516,440
1 (123).jpg,675,1200,stoplight,107,180,671,1023
1 (123).jpg,675,1200,stop,116,331,463,603
1 (123).jpg,675,1200,go,114,589,405,862
1 (123).jpg,675,1200,stop,447,405,671,643
1 (131).jpg,1600,1155,stoplight,193,305,539,1012
1 (132).jpg,863,1390,stoplight,196,105,341,416
1 (132).jpg,863,1390,stoplight,686,296,792,450
1 (132).jpg,863,1390,stoplight,798,471,854,558
1 (132).jpg,863,1390,stoplight,771,543,828,624
1 (132).jpg,863,1390,stop,196,126,358,226
1 (132).jpg,863,1390,stop,694,299,796,358
1 (133).jpg,2946,1960,stoplight,1692,979,1983,1518
1 (133).jpg,2946,1960,stop,1692,979,1959,1170
1 (134).jpg,2945,1960,stoplight,1173,458,1512,1155
1 (134).jpg,2945,1960,stoplight,2446,1424,2767,1921
1 (134).jpg,2945,1960,stop,1188,476,1546,721
1 (134).jpg,2945,1960,stop,2434,1458,2715,1649
1 (14).jpg,676,423,stoplight,394,116,527,379
1 (14).jpg,676,423,stoplight,520,116,650,384
1 (14).jpg,676,423,go,391,270,513,355
1 (142).jpg,600,337,stoplight,149,83,177,145
1 (142).jpg,600,337,go,151,115,175,138
1 (143).jpg,1280,1007,stoplight,463,354,522,409
1 (143).jpg,1280,1007,stoplight,632,385,686,426
1 (143).jpg,1280,1007,go,474,382,517,405
1 (143).jpg,1280,1007,go,639,402,675,426
1 (144).jpg,910,512,stoplight,308,39,451,170
1 (144).jpg,910,512,stop,356,114,410,157
1 (147).jpg,1300,956,stoplight,338,246,559,612
1 (147).jpg,1300,956,stoplight,515,211,748,618
1 (147).jpg,1300,956,stoplight,724,262,986,627
1 (147).jpg,1300,956,go,535,453,721,595
1 (148).jpg,1300,957,stoplight,83,143,402,798
1 (148).jpg,1300,957,stoplight,415,128,702,770
1 (148).jpg,1300,957,stoplight,685,94,1047,707
1 (148).jpg,1300,957,stoplight,934,159,1164,811
1 (148).jpg,1300,957,stop,427,156,698,356
1 (149).jpg,1300,956,stoplight,886,46,1161,499
1 (149).jpg,1300,956,stop,924,57,1140,217
1 (15).jpg,652,500,stoplight,118,175,193,252
1 (15).jpg,652,500,stoplight,419,178,495,254
1 (150).jpg,1000,667,stoplight,205,183,371,509
1 (150).jpg,1000,667,stoplight,369,199,596,548
1 (150).jpg,1000,667,go,371,386,523,500
1 (151).jpg,797,1200,stoplight,213,331,513,983
1 (151).jpg,797,1200,stoplight,444,478,650,1003
1 (151).jpg,797,1200,stop,241,356,522,540
1 (152).jpg,1024,683,stoplight,227,231,398,555
1 (152).jpg,1024,683,stoplight,163,285,299,593
1 (152).jpg,1024,683,stoplight,392,227,561,577
1 (152).jpg,1024,683,go,217,428,394,548
1 (158).jpg,1024,1366,stoplight,31,187,335,570
1 (158).jpg,1024,1366,stoplight,310,164,512,524
1 (158).jpg,1024,1366,stoplight,479,203,681,543
1 (158).jpg,1024,1366,stoplight,339,643,496,1024
1 (158).jpg,1024,1366,stop,310,197,494,312
1 (168).jpg,1280,720,stoplight,501,133,556,229
1 (168).jpg,1280,720,stoplight,880,17,984,147
1 (168).jpg,1280,720,go,502,192,553,217
1 (168).jpg,1280,720,go,943,72,987,112
1 (169).jpg,740,493,stoplight,338,183,438,400
